filename,width,height,class,xmin,ymin,xmax,ymax
0.jpg,640,480,Recyclable Waste,202,1,471,382
0.jpg,640,480,Mixed Recycling,180,28,432,409
0.jpg,640,480,General Waste,295,46,605,359
1.jpg,640,480,Recyclable Waste,200,2,472,382
1.jpg,640,480,Mixed Recycling,179,28,432,411
1.jpg,640,480,General Waste,246,67,505,359
10.jpg,640,480,Recyclable Waste,209,1,451,178
10.jpg,640,480,Mixed Recycling,151,27,446,312
10.jpg,640,480,General Waste,123,101,388,354
11.jpg,640,480,Recyclable Waste,143,76,366,330
11.jpg,640,480,Mixed Recycling,269,226,547,480
11.jpg,640,480,General Waste,243,80,498,308
12.jpg,640,480,Recyclable Waste,283,91,527,352
12.jpg,640,480,Mixed Recycling,89,1,334,181
12.jpg,640,480,General Waste,223,55,512,391
13.jpg,640,480,Recyclable Waste,219,1,444,288
13.jpg,640,480,Mixed Recycling,313,15,590,267
13.jpg,640,480,General Waste,179,54,457,357
14.jpg,640,480,Recyclable Waste,398,132,632,458
14.jpg,640,480,Mixed Recycling,324,137,640,423
14.jpg,640,480,General Waste,202,1,429,177
15.jpg,640,480,Recyclable Waste,52,19,355,344
15.jpg,640,480,Mixed Recycling,319,97,581,455
15.jpg,640,480,General Waste,167,114,422,380
16.jpg,640,480,Recyclable Waste,110,1,389,174
16.jpg,640,480,Mixed Recycling,62,134,295,373
16.jpg,640,480,General Waste,248,172,492,380
17.jpg,640,480,Recyclable Waste,185,45,433,312
17.jpg,640,480,Mixed Recycling,210,1,419,155
17.jpg,640,480,General Waste,199,57,420,323
18.jpg,640,480,Recyclable Waste,244,169,542,440
18.jpg,640,480,Mixed Recycling,111,78,367,300
18.jpg,640,480,General Waste,200,57,419,324
19.jpg,640,480,Recyclable Waste,158,1,430,157
19.jpg,640,480,Mixed Recycling,261,193,531,462
19.jpg,640,480,General Waste,198,56,420,323
2.jpg,640,480,Recyclable Waste,174,2,467,249
2.jpg,640,480,Mixed Recycling,135,1,395,325
2.jpg,640,480,General Waste,219,44,442,308
20.jpg,640,480,Recyclable Waste,69,58,344,283
20.jpg,640,480,Mixed Recycling,119,1,336,134
20.jpg,640,480,General Waste,75,138,321,401
21.jpg,640,480,Recyclable Waste,68,57,346,283
21.jpg,640,480,Mixed Recycling,308,1,525,161
21.jpg,640,480,General Waste,73,136,322,402
22.jpg,640,480,Recyclable Waste,257,105,568,396
22.jpg,640,480,Mixed Recycling,115,81,409,279
22.jpg,640,480,General Waste,74,83,403,365
23.jpg,640,480,Recyclable Waste,112,51,381,371
23.jpg,640,480,Mixed Recycling,273,186,506,405
23.jpg,640,480,General Waste,339,66,601,363
24.jpg,640,480,Recyclable Waste,341,1,631,284
24.jpg,640,480,Mixed Recycling,66,170,343,452
24.jpg,640,480,General Waste,99,1,383,257
25.jpg,640,480,Recyclable Waste,105,99,412,375
25.jpg,640,480,Mixed Recycling,274,1,492,232
25.jpg,640,480,General Waste,98,1,386,258
26.jpg,640,480,Recyclable Waste,185,97,440,377
26.jpg,640,480,Mixed Recycling,402,122,640,327
26.jpg,640,480,General Waste,190,109,449,347
27.jpg,640,480,Recyclable Waste,316,19,601,312
27.jpg,640,480,Mixed Recycling,121,97,456,395
27.jpg,640,480,General Waste,140,2,396,222
28.jpg,640,480,Recyclable Waste,104,1,332,250
28.jpg,640,480,Mixed Recycling,1,105,278,369
28.jpg,640,480,General Waste,187,42,433,274
29.jpg,640,480,Recyclable Waste,39,167,327,430
29.jpg,640,480,Mixed Recycling,216,216,506,480
29.jpg,640,480,General Waste,196,165,481,426
3.jpg,640,480,Recyclable Waste,1,126,289,335
3.jpg,640,480,Mixed Recycling,290,89,528,436
3.jpg,640,480,General Waste,234,2,415,151
30.jpg,640,480,Recyclable Waste,290,132,543,480
30.jpg,640,480,Mixed Recycling,142,119,413,452
30.jpg,640,480,General Waste,166,1,413,226
31.jpg,640,480,Recyclable Waste,60,1,331,233
31.jpg,640,480,Mixed Recycling,75,1,372,192
31.jpg,640,480,General Waste,10,5,292,257
32.jpg,640,480,Recyclable Waste,269,14,538,309
32.jpg,640,480,Mixed Recycling,181,146,441,457
32.jpg,640,480,General Waste,171,110,526,480
33.jpg,640,480,Recyclable Waste,146,76,412,391
33.jpg,640,480,Mixed Recycling,202,150,442,390
33.jpg,640,480,General Waste,48,47,409,321
34.jpg,640,480,Recyclable Waste,117,1,395,213
34.jpg,640,480,Mixed Recycling,153,1,410,225
34.jpg,640,480,General Waste,47,47,409,322
35.jpg,640,480,Recyclable Waste,149,108,387,480
35.jpg,640,480,Mixed Recycling,293,76,544,294
35.jpg,640,480,General Waste,151,226,471,480
36.jpg,640,480,Recyclable Waste,279,122,599,350
36.jpg,640,480,Mixed Recycling,1,160,341,468
36.jpg,640,480,General Waste,74,1,378,154
37.jpg,640,480,Recyclable Waste,168,1,442,195
37.jpg,640,480,Mixed Recycling,202,4,508,304
37.jpg,640,480,General Waste,158,108,410,474
38.jpg,640,480,Recyclable Waste,150,118,426,450
38.jpg,640,480,Mixed Recycling,120,49,371,307
38.jpg,640,480,General Waste,347,160,634,480
39.jpg,640,480,Recyclable Waste,303,114,544,471
39.jpg,640,480,Mixed Recycling,237,123,486,425
39.jpg,640,480,General Waste,199,1,471,314
4.jpg,640,480,Recyclable Waste,354,132,603,449
4.jpg,640,480,Mixed Recycling,173,1,386,189
4.jpg,640,480,General Waste,148,139,507,480
40.jpg,640,480,Recyclable Waste,92,1,421,143
40.jpg,640,480,Mixed Recycling,224,1,555,203
40.jpg,640,480,General Waste,64,23,270,392
41.jpg,640,480,Recyclable Waste,307,1,601,257
41.jpg,640,480,Mixed Recycling,259,117,509,392
41.jpg,640,480,General Waste,276,1,447,210
42.jpg,640,480,Recyclable Waste,71,1,344,202
42.jpg,640,480,Mixed Recycling,110,151,383,445
42.jpg,640,480,General Waste,313,156,520,393
43.jpg,640,480,Recyclable Waste,188,108,420,338
43.jpg,640,480,Mixed Recycling,2,88,372,440
43.jpg,640,480,General Waste,154,148,365,412
44.jpg,640,480,Mixed Recycling,316,135,564,430
44.jpg,640,480,General Waste,126,1,347,164
45.jpg,640,480,Mixed Recycling,62,1,367,210
45.jpg,640,480,General Waste,320,1,516,162
46.jpg,640,480,Mixed Recycling,301,1,576,234
46.jpg,640,480,General Waste,317,205,558,410
47.jpg,640,480,Mixed Recycling,237,66,450,346
47.jpg,640,480,General Waste,118,20,361,344
48.jpg,640,480,Mixed Recycling,400,88,617,404
48.jpg,640,480,General Waste,144,51,451,446
49.jpg,640,480,Mixed Recycling,183,1,444,290
49.jpg,640,480,General Waste,144,51,451,445
5.jpg,640,480,Recyclable Waste,228,1,433,240
5.jpg,640,480,Mixed Recycling,283,83,525,345
5.jpg,640,480,General Waste,136,212,432,421
50.jpg,640,480,Mixed Recycling,246,175,503,480
50.jpg,640,480,General Waste,144,52,450,445
6.jpg,640,480,Recyclable Waste,175,19,410,315
6.jpg,640,480,Mixed Recycling,90,89,309,404
6.jpg,640,480,General Waste,251,20,497,232
7.jpg,640,480,Recyclable Waste,287,55,639,335
7.jpg,640,480,Mixed Recycling,134,98,407,404
7.jpg,640,480,General Waste,158,56,361,401
8.jpg,640,480,Recyclable Waste,90,1,399,171
8.jpg,640,480,Mixed Recycling,258,1,460,203
8.jpg,640,480,General Waste,94,60,332,270
9.jpg,640,480,Recyclable Waste,284,63,495,313
9.jpg,640,480,Mixed Recycling,106,1,320,268
9.jpg,640,480,General Waste,251,113,502,355
