filename,width,height,class,xmin,ymin,xmax,ymax
R29.jpg,640,480,Recyclable Waste,39,167,327,430
M29.jpg,640,480,Mixed Recycling,216,216,506,480
G29.jpg,640,480,General Waste,196,165,481,426
R10.jpg,640,480,Recyclable Waste,209,1,451,178
M10.jpg,640,480,Mixed Recycling,151,27,446,312
G10.jpg,640,480,General Waste,123,101,388,354
R8.jpg,640,480,Recyclable Waste,90,1,399,171
M8.jpg,640,480,Mixed Recycling,258,1,460,203
G8.jpg,640,480,General Waste,94,60,332,270
R32.jpg,640,480,Recyclable Waste,269,14,538,309
M32.jpg,640,480,Mixed Recycling,181,146,441,457
G32.jpg,640,480,General Waste,171,110,526,480
R39.jpg,640,480,Recyclable Waste,303,114,544,471
M39.jpg,640,480,Mixed Recycling,237,123,486,425
G39.jpg,640,480,General Waste,199,1,471,314
M49.jpg,640,480,Mixed Recycling,183,1,444,290
G49.jpg,640,480,General Waste,144,51,451,445
R36.jpg,640,480,Recyclable Waste,279,122,599,350
M36.jpg,640,480,Mixed Recycling,1,160,341,468
G36.jpg,640,480,General Waste,74,1,378,154
R9.jpg,640,480,Recyclable Waste,284,63,495,313
M9.jpg,640,480,Mixed Recycling,106,1,320,268
G9.jpg,640,480,General Waste,251,113,502,355
R38.jpg,640,480,Recyclable Waste,150,118,426,450
M38.jpg,640,480,Mixed Recycling,120,49,371,307
G38.jpg,640,480,General Waste,347,160,634,480
R33.jpg,640,480,Recyclable Waste,146,76,412,391
M33.jpg,640,480,Mixed Recycling,202,150,442,390
G33.jpg,640,480,General Waste,48,47,409,321
R11.jpg,640,480,Recyclable Waste,143,76,366,330
M11.jpg,640,480,Mixed Recycling,269,226,547,480
G11.jpg,640,480,General Waste,243,80,498,308
R35.jpg,640,480,Recyclable Waste,149,108,387,480
M35.jpg,640,480,Mixed Recycling,293,76,544,294
G35.jpg,640,480,General Waste,151,226,471,480
R6.jpg,640,480,Recyclable Waste,175,19,410,315
M6.jpg,640,480,Mixed Recycling,90,89,309,404
G6.jpg,640,480,General Waste,251,20,497,232
M46.jpg,640,480,Mixed Recycling,301,1,576,234
G46.jpg,640,480,General Waste,317,205,558,410
M44.jpg,640,480,Mixed Recycling,316,135,564,430
G44.jpg,640,480,General Waste,126,1,347,164
R28.jpg,640,480,Recyclable Waste,104,1,332,250
M28.jpg,640,480,Mixed Recycling,1,105,278,369
G28.jpg,640,480,General Waste,187,42,433,274
M45.jpg,640,480,Mixed Recycling,62,1,367,210
G45.jpg,640,480,General Waste,320,1,516,162
R43.jpg,640,480,Recyclable Waste,188,108,420,338
M43.jpg,640,480,Mixed Recycling,2,88,372,440
G43.jpg,640,480,General Waste,154,148,365,412
R26.jpg,640,480,Recyclable Waste,185,97,440,377
M26.jpg,640,480,Mixed Recycling,402,122,640,327
G26.jpg,640,480,General Waste,190,109,449,347
R30.jpg,640,480,Recyclable Waste,290,132,543,480
M30.jpg,640,480,Mixed Recycling,142,119,413,452
G30.jpg,640,480,General Waste,166,1,413,226
R20.jpg,640,480,Recyclable Waste,69,58,344,283
M20.jpg,640,480,Mixed Recycling,119,1,336,134
G20.jpg,640,480,General Waste,75,138,321,401
M47.jpg,640,480,Mixed Recycling,237,66,450,346
G47.jpg,640,480,General Waste,118,20,361,344
R24.jpg,640,480,Recyclable Waste,341,1,631,284
M24.jpg,640,480,Mixed Recycling,66,170,343,452
G24.jpg,640,480,General Waste,99,1,383,257
M50.jpg,640,480,Mixed Recycling,246,175,503,480
G50.jpg,640,480,General Waste,144,52,450,445
R41.jpg,640,480,Recyclable Waste,307,1,601,257
M41.jpg,640,480,Mixed Recycling,259,117,509,392
G41.jpg,640,480,General Waste,276,1,447,210
R3.jpg,640,480,Recyclable Waste,1,126,289,335
M3.jpg,640,480,Mixed Recycling,290,89,528,436
G3.jpg,640,480,General Waste,234,2,415,151
R12.jpg,640,480,Recyclable Waste,283,91,527,352
M12.jpg,640,480,Mixed Recycling,89,1,334,181
G12.jpg,640,480,General Waste,223,55,512,391
R4.jpg,640,480,Recyclable Waste,354,132,603,449
M4.jpg,640,480,Mixed Recycling,173,1,386,189
G4.jpg,640,480,General Waste,148,139,507,480
R21.jpg,640,480,Recyclable Waste,68,57,346,283
M21.jpg,640,480,Mixed Recycling,308,1,525,161
G21.jpg,640,480,General Waste,73,136,322,402
R37.jpg,640,480,Recyclable Waste,168,1,442,195
M37.jpg,640,480,Mixed Recycling,202,4,508,304
G37.jpg,640,480,General Waste,158,108,410,474
R18.jpg,640,480,Recyclable Waste,244,169,542,440
M18.jpg,640,480,Mixed Recycling,111,78,367,300
G18.jpg,640,480,General Waste,200,57,419,324
R34.jpg,640,480,Recyclable Waste,117,1,395,213
M34.jpg,640,480,Mixed Recycling,153,1,410,225
G34.jpg,640,480,General Waste,47,47,409,322
R5.jpg,640,480,Recyclable Waste,228,1,433,240
M5.jpg,640,480,Mixed Recycling,283,83,525,345
G5.jpg,640,480,General Waste,136,212,432,421
R40.jpg,640,480,Recyclable Waste,92,1,421,143
M40.jpg,640,480,Mixed Recycling,224,1,555,203
G40.jpg,640,480,General Waste,64,23,270,392
R25.jpg,640,480,Recyclable Waste,105,99,412,375
M25.jpg,640,480,Mixed Recycling,274,1,492,232
G25.jpg,640,480,General Waste,98,1,386,258
R27.jpg,640,480,Recyclable Waste,316,19,601,312
M27.jpg,640,480,Mixed Recycling,121,97,456,395
G27.jpg,640,480,General Waste,140,2,396,222
